Requests,Protocol,Attack
2940,TCP,0
9102,UDP,0
13171,TCP,1
12013,UDP,1
8663,TCP,0
683,TCP,0
13079,TCP,1
11866,TCP,1
13953,TCP,1
8257,TCP,0
18540,UDP,1
1666,TCP,0
13985,UDP,1
5273,UDP,0
13764,UDP,1
12703,UDP,1
12742,TCP,1
14233,UDP,1
15463,TCP,1
1565,UDP,0
5110,UDP,0
9477,TCP,0
1476,UDP,0
18237,TCP,1
17069,UDP,1
14837,TCP,1
1284,TCP,0
3612,TCP,0
6328,TCP,0
5947,UDP,0
8664,UDP,0
3830,TCP,0
16694,UDP,1
9653,UDP,0
3012,UDP,0
493,UDP,0
10865,TCP,1
2188,TCP,0
13842,UDP,1
8884,UDP,0
9290,TCP,0
869,TCP,0
7843,TCP,0
19943,TCP,1
8579,UDP,0
16114,TCP,1
14185,TCP,1
9062,UDP,0
15128,TCP,1
5119,UDP,0
19393,TCP,1
14236,TCP,1
734,UDP,0
4628,TCP,0
4673,UDP,0
4722,UDP,0
2234,TCP,0
234,UDP,0
3666,TCP,0
6122,UDP,0
9532,TCP,0
11912,TCP,1
12139,TCP,1
5486,TCP,0
16353,UDP,1
15520,TCP,1
7523,UDP,0
4548,UDP,0
9979,TCP,0
9082,TCP,0
7651,UDP,0
5330,TCP,0
4881,TCP,0
17838,UDP,1
17141,UDP,1
9817,TCP,0
9567,TCP,0
10497,TCP,1
11824,TCP,1
4538,UDP,0
8773,UDP,0
15291,UDP,1
15326,UDP,1
13660,UDP,1
4817,UDP,0
14997,TCP,1
18166,UDP,1
17645,UDP,1
12641,UDP,1
19137,UDP,1
14606,TCP,1
1317,UDP,0
18912,TCP,1
6303,TCP,0
2972,TCP,0
7410,TCP,0
1810,UDP,0
4065,UDP,0
14071,TCP,1
10838,TCP,1
12458,TCP,1
14232,UDP,1
8731,TCP,0
6110,TCP,0
5495,TCP,0
12997,TCP,1
4068,TCP,0
13482,UDP,1
11460,TCP,1
1301,UDP,0
94,UDP,0
700,TCP,0
16675,TCP,1
12811,UDP,1
14468,TCP,1
15458,UDP,1
5097,TCP,0
1367,TCP,0
14355,UDP,1
10907,UDP,1
18572,UDP,1
14538,TCP,1
8412,UDP,0
8125,UDP,0
5077,UDP,0
9823,TCP,0
3214,UDP,0
13525,UDP,1
14742,TCP,1
13968,TCP,1
2653,TCP,0
12024,UDP,1
3447,UDP,0
13846,TCP,1
18675,UDP,1
18805,UDP,1
17779,TCP,1
4029,TCP,0
13413,UDP,1
14601,TCP,1
9640,TCP,0
4373,TCP,0
6851,TCP,0
7185,TCP,0
15014,UDP,1
16131,TCP,1
7679,TCP,0
18011,TCP,1
7545,UDP,0
11181,TCP,1
4858,UDP,0
19997,TCP,1
6466,UDP,0
3049,UDP,0
19342,TCP,1
8939,TCP,0
14885,UDP,1
5511,TCP,0
8039,TCP,0
2656,TCP,0
9705,TCP,0
1459,TCP,0
10424,TCP,1
9122,TCP,0
16808,TCP,1
9157,UDP,0
1798,UDP,0
10101,UDP,1
14564,TCP,1
3383,TCP,0
19908,UDP,1
6052,TCP,0
1667,UDP,0
15060,UDP,1
3026,UDP,0
6470,TCP,0
3149,UDP,0
7003,TCP,0
8879,TCP,0
15161,UDP,1
705,UDP,0
335,TCP,0
6793,TCP,0
10106,UDP,1
19005,UDP,1
19642,TCP,1
10529,TCP,1
7354,UDP,0
15500,UDP,1
12597,UDP,1
8036,UDP,0
4811,TCP,0
437,TCP,0
3678,UDP,0
18342,UDP,1
13406,TCP,1
16626,TCP,1
9541,TCP,0
18585,UDP,1
17092,TCP,1
13461,UDP,1
7810,UDP,0
6110,UDP,0
7936,TCP,0
1244,UDP,0
11702,UDP,1
18778,UDP,1
5445,UDP,0
7412,TCP,0
8889,TCP,0
18717,UDP,1
3321,TCP,0
5383,TCP,0
1046,UDP,0
19166,UDP,1
17103,UDP,1
